rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0298.jpg,119.2,0.4943,0.4647,0.5,0.56,5,3,False,False
76,frame_0279.jpg,111.6,0.4935,0.543,0.5,0.36,5,3,False,False
77,frame_0280.jpg,112.0,0.4929,0.5258,0.5,0.4,4,3,False,False
78,frame_0329.jpg,131.6,0.4926,0.6532,0.5,0.08,6,3,False,False
79,frame_0175.jpg,70.0,0.4912,0.5704,0.5,0.28,6,3,False,False
80,frame_0216.jpg,86.4,0.491,0.606,0.3333,0.44,3,2,False,False
81,frame_0169.jpg,67.6,0.4909,0.4739,0.5,0.52,5,3,False,False
82,frame_0214.jpg,85.6,0.4903,0.5726,0.3333,0.52,2,2,False,False
83,frame_0193.jpg,77.2,0.4886,0.4811,0.6667,0.24,6,4,False,False
84,frame_0295.jpg,118.0,0.4886,0.6051,0.1667,0.68,3,1,False,False
85,frame_0087.jpg,34.8,0.4877,0.5835,0.3333,0.48,3,2,False,False
86,frame_0209.jpg,83.6,0.4852,0.4825,0.3333,0.72,3,2,False,False
87,frame_0014.jpg,5.6,0.4827,0.3654,0.3333,1.0,4,2,False,False
88,frame_0131.jpg,52.4,0.479,0.374,0.3333,0.96,4,2,False,False
89,frame_0333.jpg,133.2,0.4787,0.5254,0.6667,0.08,6,4,False,False
90,frame_0305.jpg,122.0,0.478,0.444,0.6667,0.28,5,4,False,False
91,frame_0184.jpg,73.6,0.4755,0.519,0.6667,0.08,6,4,False,False
92,frame_0273.jpg,109.2,0.4726,0.5971,0.5,0.12,5,3,False,False
93,frame_0189.jpg,75.6,0.471,0.7101,0.3333,0.08,3,2,False,False
94,frame_0003.jpg,1.2,0.4695,0.339,0.3333,1.0,6,2,False,False
95,frame_0096.jpg,38.4,0.4682,0.5883,0.5,0.12,4,3,False,False
96,frame_0128.jpg,51.2,0.4671,0.3983,0.3333,0.84,7,2,False,False
97,frame_0225.jpg,90.0,0.4662,0.6004,0.5,0.08,7,3,False,False
98,frame_0183.jpg,73.2,0.4659,0.7158,0.3333,0.04,4,2,False,False
99,frame_0025.jpg,10.0,0.464,0.5279,0.0,1.0,2,0,False,False
100,frame_0018.jpg,7.2,0.4594,0.4187,0.1667,1.0,4,1,False,False
101,frame_0293.jpg,117.2,0.4584,0.3127,0.5,0.76,5,3,False,False
102,frame_0321.jpg,128.4,0.4584,0.4368,0.6667,0.2,6,4,False,False
103,frame_0186.jpg,74.4,0.4558,0.4955,0.6667,0.04,8,4,False,False
104,frame_0307.jpg,122.8,0.4554,0.5307,0.5,0.2,8,3,False,False
105,frame_0388.jpg,155.2,0.4535,0.5429,0.5,0.16,9,3,False,False
106,frame_0286.jpg,114.4,0.4526,0.5492,0.1667,0.64,5,1,False,False
107,frame_0098.jpg,39.2,0.4516,0.4872,0.6667,0.04,5,4,False,False
108,frame_0026.jpg,10.4,0.4507,0.3015,0.3333,1.0,4,2,False,False
109,frame_0023.jpg,9.2,0.4504,0.4007,0.1667,1.0,2,1,False,False
110,frame_0032.jpg,12.8,0.4439,0.3878,0.1667,1.0,5,1,False,False
111,frame_0210.jpg,84.0,0.442,0.412,0.3333,0.68,3,2,False,False
112,frame_0001.jpg,0.4,0.4389,0.3778,0.1667,1.0,6,1,False,False
113,frame_0094.jpg,37.6,0.4376,0.4953,0.5,0.2,4,3,False,False
114,frame_0220.jpg,88.0,0.4375,0.663,0.1667,0.28,3,1,False,False
115,frame_0021.jpg,8.4,0.4351,0.2703,0.3333,1.0,4,2,False,False
116,frame_0217.jpg,86.8,0.4331,0.6062,0.1667,0.4,1,1,False,False
117,frame_0330.jpg,132.0,0.4309,0.6459,0.3333,0.04,6,2,False,False
118,frame_0105.jpg,42.0,0.4305,0.429,0.6667,0.08,6,4,False,False
119,frame_0327.jpg,130.8,0.4297,0.7434,0.1667,0.04,8,1,False,False
120,frame_0277.jpg,110.8,0.4293,0.4466,0.5,0.28,6,3,False,False
